Tumor_Sample_Barcode,CCND1_cna_raw,MDM4_cna_raw
MB-5183,0,2
MB-5184,0,1
MB-5185,0,1
MB-5186,2,0
MB-5190,0,0
MB-5191,0,2
MB-5195,0,2
MB-5196,2,0
MB-5199,1,1
MB-5200,1,1
MB-5201,0,2
MB-5206,2,0
MB-5214,2,0
MB-5218,0,0
MB-5221,0,2
MB-5222,0,0
MB-5225,1,0
MB-5226,2,1
MB-5230,0,1
MB-5231,1,1
MB-5232,1,0
MB-5235,1,1
MB-5239,0,1
MB-5240,0,0
MB-5244,2,1
MB-5260,1,0
MB-5261,2,0
MB-5264,1,2
MB-5266,2,0
MB-5267,1,0
MB-5268,0,1
MB-5272,0,0
MB-5273,2,1
MB-5278,1,1
MB-5279,0,2
MB-5281,0,0
MB-5287,0,1
MB-5291,2,0
MB-5293,0,1
MB-5300,2,2
MB-5306,0,0
MB-5308,1,0
MB-5311,0,1
MB-5318,0,2
MB-5323,0,0
MB-5324,0,1
MB-5331,0,2
MB-5334,0,2
MB-5335,-1,0
MB-5341,2,0
MB-5351,0,0
MB-5364,0,2
MB-5369,0,2
MB-5370,2,1
MB-5386,0,1
MB-5388,0,1
MB-5392,0,0
MB-5395,1,2
MB-5396,2,2
MB-5401,0,0
MB-5402,0,0
MB-5407,0,2
MB-5408,0,0
MB-5412,0,2
MB-5420,0,0
MB-5421,0,-1
MB-5422,0,1
MB-5424,2,2
MB-5428,0,0
MB-5431,0,1
MB-5433,1,0
MB-5450,2,0
MB-5451,0,2
MB-5457,0,2
MB-5465,0,1
MB-5471,0,2
MB-5484,0,1
MB-5486,1,1
MB-5489,0,1
MB-5490,2,2
MB-5491,1,2
MB-5497,2,1
MB-5498,0,0
MB-5499,0,0
MB-5505,0,0
MB-5511,1,1
MB-5526,1,1
MB-5531,0,0
MB-5541,0,0
MB-5556,0,1
MB-5560,0,1
MB-5562,2,1
MB-5563,0,1
MB-5567,0,1
MB-5572,0,0
MB-5575,0,0
MB-5576,2,2
MB-5582,0,1
MB-5583,0,1
MB-5584,-1,0
MB-5614,2,1
